Local maximums: 

date:	    close:	 volume:	  open:	 high:   low:
2018-01-03  0.26	 275061		  0.23	  0.27  0.19
2017-12-26  0.35	 237928		  0.29	  0.35  0.28
2017-12-14  0.62	 083551		  0.60	  0.62  0.57
2017-12-11  0.62	 135314		  0.62	  0.64  0.59
2017-12-01  0.89	 099778		  0.84	  0.90  0.82
2017-11-29  0.83	 179157		  0.74	  0.87  0.74
2017-11-22  0.63	 094370		  0.63	  0.65  0.62
2017-11-14  0.67	 133088		  0.64	  0.67  0.61
2017-11-09  0.66	 244499		  0.67	  0.67  0.62
2017-11-06  0.63	 154850		  0.54	  0.64  0.54
2017-10-30  0.63	 511212		  0.60	  0.66  0.56
2017-10-10  0.39	 014570		  0.40	  0.40  0.37
2017-10-05  0.42	 084385		  0.39	  0.43  0.39
2017-10-03  0.39	 035500		  0.37	  0.39  0.36
2017-09-22  0.34	 004781		  0.35	  0.35  0.33
2017-09-20  0.36	 033619		  0.33	  0.36  0.33
2017-09-15  0.34	 006083		  0.34	  0.34  0.34
2017-09-12  0.37	 024325		  0.37	  0.37  0.37
2017-09-07  0.37	 002000		  0.36	  0.37  0.36
2017-09-01  0.34	 007004		  0.34	  0.34  0.34
2017-08-25  0.34	 012580		  0.33	  0.34  0.32
2017-08-22  0.37	 002000		  0.35	  0.37  0.35
2017-08-18  0.37	 007450		  0.33	  0.37  0.33
2017-08-11  0.39	 008591		  0.38	  0.39  0.38
2017-08-09  0.39	 002225		  0.41	  0.41  0.39
2017-07-26  0.43	 005520		  0.44	  0.44  0.43
2017-07-19  0.38	 012181		  0.37	  0.38  0.37
2017-07-12  0.42	 005483		  0.41	  0.42  0.40
2017-07-05  0.49	 012000		  0.46	  0.49  0.46
2017-06-27  0.48	 001200		  0.51	  0.51  0.47
2017-06-22  0.50	 000333		  0.50	  0.50  0.50
2017-06-16  0.50	 018250		  0.45	  0.50  0.45
2017-06-12  0.50	 003500		  0.50	  0.50  0.48
2017-06-08  0.49	 008666		  0.48	  0.50  0.48
2017-06-01  0.54	 145376		  0.50	  0.57  0.49
2017-05-26  0.42	 002000		  0.42	  0.42  0.42
2017-05-24  0.45	 010291		  0.44	  0.45  0.43
2017-05-18  0.46	 024833		  0.43	  0.46  0.43
2017-05-16  0.43	 015366		  0.43	  0.49  0.42
2017-05-12  0.45	 029425		  0.45	  0.45  0.42
2017-05-10  0.55	 092009		  0.47	  0.57  0.47
2017-05-03  0.42	 029545		  0.38	  0.42  0.36
2017-04-17  0.41	 001983		  0.42	  0.42  0.37
2017-04-10  0.39	 002275		  0.41	  0.41  0.39
2017-04-05  0.41	 005154		  0.41	  0.41  0.41
2017-03-30  0.42	 015917		  0.41	  0.42  0.35
2017-03-27  0.41	 069796		  0.39	  0.41  0.34
2017-03-16  0.35	 030500		  0.32	  0.35  0.31
2017-03-13  0.34	 015810		  0.34	  0.34  0.32
2017-03-06  0.34	 022589		  0.32	  0.34  0.30
2017-02-28  0.32	 042502		  0.33	  0.33  0.31
2017-02-24  0.35	 033228		  0.35	  0.36  0.31
2017-02-21  0.35	 067831		  0.37	  0.37  0.33
2017-02-16  0.35	 466625		  0.27	  0.37  0.26
2017-02-14  0.28	 169253		  0.26	  0.29  0.26
2017-02-03  0.25	 001083		  0.26	  0.26  0.25
2017-01-27  0.24	 011459		  0.20	  0.24  0.20
2017-01-24  0.24	 002400		  0.24	  0.26  0.24
2017-01-17  0.22	 004313		  0.22	  0.22  0.21
2017-01-12  0.22	 004866		  0.22	  0.22  0.21
2017-01-09  0.22	 000358		  0.21	  0.22  0.21
2016-12-29  0.22	 005512		  0.18	  0.23  0.18
2016-11-30  0.22	 001458		  0.22	  0.22  0.22
2016-11-14  0.21	 000583		  0.21	  0.21  0.21
2016-11-10  0.21	 000500		  0.21	  0.21  0.21
2016-11-07  0.22	 000167		  0.22	  0.22  0.22
2016-09-14  0.25	 001417		  0.24	  0.25  0.24
2016-08-26  0.20	 066668		  0.20	  0.20  0.20
2016-08-16  0.24	 000417		  0.24	  0.24  0.24
2016-08-08  0.20	 013833		  0.24	  0.24  0.20
2016-08-03  0.21	 000017		  0.21	  0.21  0.21
2016-04-28  0.26	 022640		  0.26	  0.26  0.26
2016-04-12  0.24	 030001		  0.24	  0.24  0.24
2016-03-30  0.21	 017500		  0.21	  0.21  0.21
2016-03-21  0.25	 006500		  0.25	  0.25  0.25
2014-12-12  0.19	 001400		  0.19	  0.19  0.19
2014-12-03  0.28	 000833		  0.28	  0.28  0.28
2014-06-20  0.42	 002500		  0.42	  0.42  0.42
2014-03-17  0.44	 000167		  0.44	  0.44  0.44
2013-11-19  0.52	 010034		  0.56	  0.56  0.52
2013-10-08  0.73	 011500		  0.65	  0.73  0.64
2013-10-02  0.70	 025001		  0.70	  0.70  0.70
2013-03-28  0.97	 009667		  0.97	  0.97  0.97
2013-02-20  1.04	 000833		  1.04	  1.04  1.04
2012-07-13  1.07	 003083		  1.07	  1.07  1.05
2012-06-15  1.32	 002417		  1.32	  1.32  1.32
2012-06-13  1.26	 000167		  1.26	  1.26  1.26
2012-05-14  1.62	 000417		  1.61	  1.62  1.61
2012-05-04  1.81	 007583		  1.69	  1.90  1.69
2012-04-30  1.61	 002076		  1.55	  1.61  1.55
2012-04-17  1.49	 018167		  1.33	  1.50  1.33
2012-03-30  1.74	 002667		  1.65	  1.74  1.65
2012-03-21  1.74	 009334		  1.74	  1.82  1.74
2012-03-13  1.46	 001167		  1.46	  1.46  1.45
2012-01-19  1.54	 018367		  1.55	  1.55  1.51
2012-01-12  1.45	 011417		  1.27	  1.45  1.27
2012-01-03  1.06	 000521		  1.06	  1.06  1.06
2011-12-06  0.88	 001667		  0.88	  0.88  0.88
2011-10-26  1.10	 001667		  1.10	  1.10  1.10
2011-08-25  1.01	 000500		  1.01	  1.01  1.01
2011-08-17  1.02	 000500		  1.02	  1.02  1.02
2011-08-08  1.11	 008167		  1.03	  1.11  1.02
2011-06-28  1.19	 000567		  1.19	  1.19  1.19
2011-06-21  1.11	 000333		  1.08	  1.11  1.08
2011-06-17  1.05	 001167		  1.07	  1.07  1.05
2011-04-11  1.38	 006667		  1.41	  1.41  1.37
2011-03-11  1.32	 002300		  1.29	  1.32  1.29
2011-03-09  1.42	 004179		  1.42	  1.42  1.42
2011-02-18  1.59	 003333		  1.59	  1.59  1.59
2011-01-18  1.67	 000833		  1.67	  1.67  1.67
2011-01-13  1.64	 001667		  1.64	  1.64  1.64
2010-12-29  1.68	 003513		  1.68	  1.68  1.56
2010-12-20  1.59	 010000		  1.45	  1.59  1.45
2010-12-03  1.55	 000833		  1.55	  1.55  1.55
2010-10-21  1.76	 000833		  1.73	  1.76  1.73
2010-09-03  1.07	 001667		  1.07	  1.07  1.07
2010-07-22  1.27	 011667		  1.24	  1.31  1.24
2010-07-14  0.99	 006667		  0.96	  0.99  0.96
2010-06-18  1.12	 001667		  1.12	  1.12  1.12
2010-06-10  1.13	 002325		  1.11	  1.25  1.11
2010-04-14  2.23	 004000		  1.98	  2.23  1.98
2010-03-30  1.62	 005667		  1.56	  1.62  1.56
2009-08-21  1.25	 002500		  1.19	  1.25  1.19
2009-06-04  1.14	 000833		  1.14	  1.14  1.14
2009-05-22  1.18	 001667		  1.18	  1.18  1.18
2008-12-29  0.28	 007626		  0.24	  0.28  0.24
2008-05-22  3.02	 000333		  3.02	  3.02  3.02
2008-04-10  2.93	 009000		  2.93	  2.98  2.84
2008-04-07  2.98	 009350		  2.98	  3.19  2.76
2008-02-21  2.56	 000500		  2.56	  2.56  2.56


Local minimums: 

date:	    close:	 volume:	  open:	 high:   low:
2018-01-03  0.26	 275061		  0.23	  0.27  0.19
2017-12-26  0.35	 237928		  0.29	  0.35  0.28
2017-12-14  0.62	 083551		  0.60	  0.62  0.57
2017-12-11  0.62	 135314		  0.62	  0.64  0.59
2017-12-01  0.89	 099778		  0.84	  0.90  0.82
2017-11-29  0.83	 179157		  0.74	  0.87  0.74
2017-11-22  0.63	 094370		  0.63	  0.65  0.62
2017-11-14  0.67	 133088		  0.64	  0.67  0.61
2017-11-09  0.66	 244499		  0.67	  0.67  0.62
2017-11-06  0.63	 154850		  0.54	  0.64  0.54
2017-10-30  0.63	 511212		  0.60	  0.66  0.56
2017-10-10  0.39	 014570		  0.40	  0.40  0.37
2017-10-05  0.42	 084385		  0.39	  0.43  0.39
2017-10-03  0.39	 035500		  0.37	  0.39  0.36
2017-09-22  0.34	 004781		  0.35	  0.35  0.33
2017-09-20  0.36	 033619		  0.33	  0.36  0.33
2017-09-15  0.34	 006083		  0.34	  0.34  0.34
2017-09-12  0.37	 024325		  0.37	  0.37  0.37
2017-09-07  0.37	 002000		  0.36	  0.37  0.36
2017-09-01  0.34	 007004		  0.34	  0.34  0.34
2017-08-25  0.34	 012580		  0.33	  0.34  0.32
2017-08-22  0.37	 002000		  0.35	  0.37  0.35
2017-08-18  0.37	 007450		  0.33	  0.37  0.33
2017-08-11  0.39	 008591		  0.38	  0.39  0.38
2017-08-09  0.39	 002225		  0.41	  0.41  0.39
2017-07-26  0.43	 005520		  0.44	  0.44  0.43
2017-07-19  0.38	 012181		  0.37	  0.38  0.37
2017-07-12  0.42	 005483		  0.41	  0.42  0.40
2017-07-05  0.49	 012000		  0.46	  0.49  0.46
2017-06-27  0.48	 001200		  0.51	  0.51  0.47
2017-06-22  0.50	 000333		  0.50	  0.50  0.50
2017-06-16  0.50	 018250		  0.45	  0.50  0.45
2017-06-12  0.50	 003500		  0.50	  0.50  0.48
2017-06-08  0.49	 008666		  0.48	  0.50  0.48
2017-06-01  0.54	 145376		  0.50	  0.57  0.49
2017-05-26  0.42	 002000		  0.42	  0.42  0.42
2017-05-24  0.45	 010291		  0.44	  0.45  0.43
2017-05-18  0.46	 024833		  0.43	  0.46  0.43
2017-05-16  0.43	 015366		  0.43	  0.49  0.42
