date	close	volume	open	high	low
					
2018-01-05	0.235	104309	0.2294	0.261	0.22
2018-01-04	0.2213	257935	0.299	0.299	0.2213
2018-01-03	0.2578	275061	0.234	0.2665	0.1865
2018-01-02	0.218	465736	0.3015	0.3015	0.2052
2017-12-29	0.2747	229899	0.31	0.32	0.2681
2017-12-28	0.3128	226058	0.3295	0.34	0.28
2017-12-27	0.3337	547590	0.3225	0.489	0.2979
2017-12-26	0.349	237928	0.286	0.349	0.28
2017-12-22	0.285	1042688	0.25	0.285	0.2192
2017-12-21	0.21	352808	0.1985	0.21	0.18
2017-12-20	0.1863	122941	0.18	0.2063	0.176
2017-12-19	0.1794	385032	0.1601	0.2102	0.1543
2017-12-18	0.16	690688	0.17	0.18	0.1452
2017-12-15	0.1709	1330783	0.1895	0.3	0.15
2017-12-14	0.6158	83551	0.6	0.6158	0.5696
2017-12-13	0.6	42707	0.57	0.6044	0.57
2017-12-12	0.58	45757	0.614	0.614	0.58
2017-12-11	0.6173	135314	0.62	0.64	0.5936
2017-12-08	0.61	97013	0.62	0.62	0.58
2017-12-07	0.6298	335794	0.7245	0.7245	0.62
2017-12-06	0.7141	97399	0.74	0.7987	0.713
2017-12-05	0.7825	64331	0.86	0.8863	0.7747
2017-12-04	0.8457	108909	0.8935	0.9503	0.821
2017-12-01	0.8867	99778	0.8443	0.9007	0.817
2017-11-30	0.796	249760	0.826	0.8961	0.7319
2017-11-29	0.8337	179157	0.7358	0.87	0.7358
2017-11-28	0.7065	394369	0.692	0.9807	0.6851
2017-11-27	0.67	222330	0.6324	0.704	0.6202
2017-11-24	0.61	28045	0.6333	0.6401	0.6082
2017-11-22	0.6334	94370	0.6326	0.6539	0.6155
2017-11-21	0.62	106154	0.6138	0.6866	0.5852
2017-11-20	0.58	66415	0.5923	0.6085	0.5674
2017-11-17	0.58	48015	0.5805	0.5989	0.5646
2017-11-16	0.59	21840	0.6	0.6453	0.59
2017-11-15	0.5981	212135	0.68	0.7039	0.5933
2017-11-14	0.6726	133088	0.637	0.6726	0.6095
2017-11-13	0.6563	161604	0.68	0.68	0.629
2017-11-10	0.6263	190753	0.6644	0.675	0.6132
2017-11-09	0.6569	244499	0.67	0.67	0.62
2017-11-08	0.6487	260908	0.6	0.6487	0.5755
2017-11-07	0.5813	173579	0.63	0.63	0.57
2017-11-06	0.6327	154850	0.5437	0.6399	0.5437
2017-11-03	0.5269	120385	0.51	0.527	0.4572
2017-11-02	0.5	90769	0.57	0.604	0.495
2017-11-01	0.575	122580	0.5991	0.6097	0.5465
2017-10-31	0.592	434022	0.631	0.6402	0.5835
2017-10-30	0.63	511212	0.596	0.6594	0.5568
2017-10-27	0.5323	327141	0.4979	0.625	0.4979
2017-10-26	0.4467	123650	0.425	0.4876	0.425
2017-10-25	0.41	193286	0.42	0.5	0.3813
2017-10-24	0.41	219242	0.3777	0.4617	0.3148
2017-10-23	0.3361	2666	0.3361	0.3361	0.3361
2017-10-20	0.3384	5590	0.34	0.34	0.3384
2017-10-19	0.3587	30299	0.3483	0.3587	0.3411
2017-10-18	0.37	30700	0.4036	0.4036	0.3585
2017-10-17	0.4	37358	0.3936	0.41	0.3936
2017-10-16	0.4	10800	0.3793	0.4	0.3793
2017-10-13	0.3419	4472	0.3481	0.3481	0.3402
2017-10-12	0.3551	11808	0.38	0.38	0.3551
2017-10-11	0.3858	2962	0.362	0.3858	0.362
2017-10-10	0.3871	14570	0.4023	0.4023	0.3736
2017-10-09	0.37	1115	0.3511	0.37	0.3511
2017-10-06	0.37	46288	0.3511	0.37	0.3511
2017-10-05	0.4186	84385	0.3929	0.4262	0.3929
2017-10-04	0.3771	10829	0.38	0.4	0.3771
2017-10-03	0.3885	35500	0.37	0.3885	0.356
2017-10-02	0.377	58032	0.35	0.378	0.35
2017-09-29	0.35	25828	0.342	0.3589	0.342
2017-09-28	0.3182	1908	0.3189	0.3189	0.3182
2017-09-27	0.338	23311	0.3379	0.3401	0.3201
2017-09-26	0.338	10000	0.35	0.35	0.338
2017-09-25	0.3374	4450	0.3374	0.3374	0.3374
2017-09-22	0.3405	4781	0.3537	0.3537	0.3311
2017-09-21	0.3333	2466	0.378	0.384	0.3333
2017-09-20	0.36	33619	0.3255	0.36	0.3255
2017-09-19	0.345	8051	0.3237	0.3462	0.3228
